date,open,high,low,close,volume
2026-02-06,5.5,5.56,5.47,5.51,271915895.0
2026-02-09,5.57,5.62,5.5,5.52,256443276.0
2026-02-10,5.52,5.53,5.44,5.46,253389738.0
2026-02-11,5.47,5.52,5.45,5.49,184839349.0
2026-02-12,5.52,5.68,5.51,5.63,382386982.0
2026-02-13,5.56,5.58,5.48,5.5,268666038.0
2026-02-24,5.74,6.05,5.71,6.05,1027405291.0
2026-02-25,6.06,6.47,5.99,6.19,1258048702.0
2026-02-26,6.19,6.3,6.1,6.15,484489869.0
2026-02-27,6.18,6.36,6.13,6.3,536524932.0
2026-03-02,6.22,6.29,6.12,6.23,523806589.0
2026-03-03,6.17,6.23,5.97,6.01,509315358.0
2026-03-04,5.96,6.05,5.85,5.91,389678332.0
2026-03-05,6.01,6.05,5.89,5.93,286914918.0
2026-03-06,5.88,5.95,5.85,5.93,260798714.0
2026-03-09,5.82,5.87,5.74,5.75,396447736.0
2026-03-10,5.8,5.87,5.76,5.82,324451463.0
2026-03-11,5.82,5.98,5.78,5.93,410383132.0
2026-03-12,5.93,5.98,5.86,5.91,322014970.0
2026-03-13,5.89,6.07,5.88,5.94,487568021.0
2026-03-16,5.94,5.98,5.75,5.76,482453334.0
2026-03-17,5.78,5.84,5.71,5.72,276496039.0
2026-03-18,5.72,5.74,5.66,5.71,224720594.0
2026-03-19,5.66,5.68,5.57,5.59,288027380.0
2026-03-20,5.59,5.63,5.55,5.55,232373004.0
2026-03-23,5.48,5.53,5.31,5.34,390410129.0
2026-03-24,5.42,5.44,5.35,5.44,205410582.0
2026-03-25,5.47,5.53,5.45,5.49,211428725.0
2026-03-26,5.49,5.5,5.37,5.39,207349186.0
2026-03-27,5.35,5.42,5.34,5.41,139780404.0
2026-03-30,5.36,5.52,5.33,5.47,237435417.0
2026-03-31,5.41,5.51,5.39,5.43,258884434.0
2026-04-01,5.5,5.54,5.43,5.44,196633335.0
2026-04-02,5.44,5.44,5.34,5.35,187953439.0
2026-04-03,5.36,5.37,5.19,5.2,269932966.0
2026-04-07,5.21,5.23,5.18,5.2,119951116.0
2026-04-08,5.3,5.34,5.26,5.33,198744759.0
2026-04-09,5.29,5.29,5.23,5.25,140007888.0
2026-04-10,5.28,5.3,5.26,5.26,134268455.0
